Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group,Id
9.3,Long,M,Yes,40,0,0,0,0,0,0,0,67
3.67,Short,M,Yes,53,0,0,0,0,0,0,0,68
7.49,Medium,F,Yes,22,0,0,0,0,1,0,0,69
4.58,Long,F,Yes,34,0,0,0,0,1,0,0,70
7.25,Medium,F,Yes,47,0,1,1,0,0,1,0,71
4.88,Medium,M,No,42,1,1,0,0,0,0,0,72
9.12,Long,M,Yes,51,0,0,0,0,0,0,0,73
7.7,Long,F,No,49,0,0,0,0,1,0,0,74
3.99,Long,M,Yes,39,1,1,0,0,1,1,0,75
7.76,Medium,F,No,42,0,1,0,0,0,1,0,76
9.72,Short,M,No,31,1,0,0,0,1,0,0,77
5.9,Short,M,No,21,0,0,0,0,0,0,0,78
5.08,Medium,F,No,34,0,0,0,0,1,0,0,79
5.65,Short,M,Yes,48,0,1,1,0,1,0,0,80
9.75,Short,F,No,57,0,0,0,0,1,0,1,81
9.66,Short,M,Yes,46,0,1,0,0,0,1,0,82
3.49,Medium,F,No,37,0,0,0,0,1,1,1,83
5.28,Short,F,No,29,0,0,0,0,0,0,0,84
5.85,Long,F,No,27,1,1,0,0,1,1,0,85
3.18,Short,M,No,35,0,0,0,0,0,0,0,86
6.88,Short,F,Yes,50,1,0,0,0,1,0,1,87
2.88,Short,F,Yes,55,1,1,0,0,0,1,0,88
3.39,Long,F,Yes,35,1,0,0,0,0,0,0,89
7.32,Long,F,Yes,48,1,0,0,0,0,0,0,90
7.22,Short,M,No,51,0,0,0,1,1,0,1,91
5.07,Medium,F,Yes,30,1,0,0,0,0,0,0,92
7.91,Medium,F,No,31,1,0,0,0,0,0,0,93
3.8,Long,F,Yes,43,1,1,1,0,0,1,0,94
6.53,Long,F,Yes,23,0,0,0,0,0,0,0,95
7.24,Medium,M,Yes,19,0,0,0,0,0,0,0,96
3.4,Medium,F,Yes,26,1,0,1,0,0,1,0,97
2.08,Short,M,Yes,27,0,0,0,0,1,0,0,98
8.71,Medium,M,No,42,0,0,0,0,0,0,0,99
2.66,Short,F,No,47,0,0,0,0,1,1,0,100
5.97,Medium,F,Yes,49,1,0,1,0,1,0,0,101
4.06,Medium,M,No,21,0,0,0,0,0,0,0,102
4.71,Short,M,No,47,0,0,0,0,0,0,0,103
6.6,Long,M,Yes,37,0,0,0,0,0,0,1,104
4.65,Short,F,Yes,24,1,0,0,0,1,1,0,105
5.13,Short,M,Yes,25,1,0,0,0,0,0,0,106
4.76,Long,F,Yes,23,0,1,1,0,0,1,0,107
7.71,Medium,M,No,22,0,0,0,0,0,1,0,108
4.82,Short,M,No,47,1,1,0,0,0,1,0,109
5.63,Long,F,No,28,1,1,0,0,0,1,0,110
5.21,Short,F,Yes,31,0,0,0,0,1,0,0,111
3.96,Medium,M,Yes,54,0,0,0,0,0,0,0,112
7.46,Medium,M,No,24,0,0,0,0,0,0,1,113
2.24,Long,M,No,24,0,0,0,1,1,0,1,114
2.18,Long,F,Yes,25,1,0,1,0,0,1,0,115
4.16,Medium,M,Yes,23,1,1,1,0,0,1,0,116
8.66,Long,F,Yes,29,0,1,0,0,0,1,0,117
2.91,Long,F,Yes,31,0,0,0,0,0,1,0,118
3.69,Medium,M,Yes,52,0,0,0,0,0,0,0,119
5.03,Long,M,Yes,38,1,0,0,0,1,0,0,120
7.95,Short,M,No,29,0,0,0,0,0,0,1,121
3.37,Long,F,No,29,0,0,0,0,1,0,0,122
8.58,Medium,F,No,47,0,0,0,0,0,0,0,123
2.85,Long,F,Yes,26,0,0,0,0,0,0,0,124
3.82,Long,M,Yes,45,0,0,0,0,0,0,0,125
3.84,Medium,M,Yes,51,1,0,0,0,0,0,0,126
3.1,Long,F,No,28,0,1,0,0,1,1,0,127
2.16,Long,F,No,43,0,0,0,0,1,0,0,128
7.97,Medium,M,No,24,1,0,0,1,0,0,0,129
9.04,Short,F,No,52,0,0,0,0,0,0,0,130
2.85,Medium,F,No,24,0,0,0,0,0,0,1,131
2.46,Long,F,No,55,1,1,1,0,0,1,0,132
6.11,Long,F,No,40,0,0,0,0,1,0,0,133
9.75,Long,F,No,37,1,1,1,0,0,1,1,134
7.84,Medium,M,Yes,34,1,1,1,1,1,1,0,135
2.83,Short,F,No,31,1,0,0,0,1,0,0,136
6.37,Short,M,Yes,34,0,0,0,0,0,0,0,137
8.67,Medium,M,No,21,0,0,0,0,1,0,0,138
3.01,Long,M,No,48,1,1,1,0,0,1,0,139
5.42,Long,F,Yes,51,0,0,0,1,0,1,1,140
7.92,Long,F,Yes,37,1,1,1,1,0,1,1,141
3.65,Short,F,Yes,22,1,1,1,0,0,1,0,142
9.84,Medium,M,Yes,39,0,1,1,0,0,1,0,143
4.22,Long,F,Yes,24,0,1,0,0,0,1,0,144
6.53,Medium,M,No,47,0,0,0,0,1,0,1,145
6.79,Long,M,No,56,0,0,0,0,0,0,0,146
6.21,Medium,M,Yes,35,0,0,0,1,1,1,0,147
5.51,Medium,F,Yes,32,0,0,0,0,0,1,0,148
6.38,Medium,M,No,48,0,0,0,0,0,0,0,149
5.51,Short,M,No,21,1,1,0,0,1,1,0,150
5.43,Medium,M,No,44,0,0,0,0,0,0,0,151
3.74,Long,F,Yes,39,1,0,0,0,0,0,0,152
6.45,Long,M,Yes,28,1,0,0,0,1,0,0,153
4.3,Long,M,Yes,20,0,0,0,0,0,0,0,154
8.8,Long,F,No,53,1,1,0,0,0,1,0,155
5.47,Long,F,Yes,42,1,0,0,1,1,0,0,156
2.27,Medium,F,Yes,40,0,0,0,0,0,1,0,157
3.6,Medium,M,No,52,1,0,1,0,1,1,0,158
4.76,Short,M,Yes,49,0,1,0,0,0,0,1,159
2.31,Long,F,Yes,25,0,0,0,0,0,0,0,160
8.44,Medium,M,No,18,1,1,1,0,0,1,1,161
5.62,Medium,F,Yes,45,1,0,0,0,0,0,0,162
3,Long,M,Yes,43,0,0,0,0,0,0,0,163
2.81,Medium,F,Yes,47,0,1,1,0,0,1,0,164
6.43,Medium,M,No,26,0,1,0,0,0,1,1,165
9.24,Long,F,Yes,44,0,0,0,0,0,0,0,166
5.63,Long,M,Yes,26,0,0,0,0,1,0,0,167
8.31,Long,F,Yes,27,1,1,0,1,1,1,1,168
4.45,Medium,M,Yes,19,1,1,0,0,0,1,0,169
8.47,Long,M,No,26,1,0,0,0,0,0,0,170
5.99,Medium,F,No,29,0,0,0,0,0,0,0,171
4.49,Medium,F,No,28,1,0,1,0,0,0,0,172
10.04,Medium,M,Yes,28,0,0,0,0,0,1,0,173
4.13,Short,F,Yes,40,1,1,0,0,0,1,1,174
6.41,Medium,F,No,25,0,0,0,0,0,0,1,175
8.65,Medium,M,No,33,1,0,0,0,0,0,0,176
6.95,Long,F,Yes,36,0,0,0,0,0,0,0,177
7.9,Medium,F,Yes,54,0,0,0,0,0,0,0,178
8.19,Long,F,No,38,0,1,0,0,0,1,0,179
7.53,Medium,F,No,41,0,0,0,0,0,1,0,180
9.06,Medium,M,Yes,29,1,0,0,0,0,0,0,181
6.3,Short,F,No,37,0,0,0,0,0,0,0,182
6.42,Short,F,Yes,51,0,0,0,0,0,1,0,183
7.29,Long,M,No,24,1,0,1,0,0,0,0,184
9.34,Short,M,No,34,0,0,0,0,1,0,1,185
4.34,Medium,M,Yes,26,0,0,0,0,0,1,0,186
7.05,Medium,F,No,37,1,1,1,0,0,1,0,187
7.44,Long,F,No,54,0,0,0,0,0,0,0,188
6.16,Medium,M,No,52,1,0,0,0,0,0,0,189
6.19,Medium,F,Yes,42,0,0,0,0,1,0,0,190
4.64,Medium,F,Yes,22,1,1,0,0,1,1,0,191
2.41,Medium,F,No,49,1,1,1,0,0,1,0,192
8.15,Short,F,Yes,38,1,1,0,0,1,1,1,193
7.82,Long,M,No,41,0,0,0,0,0,0,0,194
2.62,Medium,F,No,40,1,0,0,0,0,0,0,195
7.06,Long,F,No,50,0,0,0,0,0,1,0,196
5.8,Long,F,Yes,52,1,0,1,0,0,1,0,197
8.57,Medium,F,No,20,0,0,0,0,1,0,1,198
6.28,Long,M,No,35,0,0,0,0,0,0,0,199
4.14,Short,M,No,39,0,0,0,0,1,0,0,200
8.62,Long,M,No,37,0,1,1,1,1,1,1,201
3.67,Long,M,Yes,47,1,1,1,0,0,1,0,202
8.08,Medium,M,No,20,0,0,0,0,0,0,0,203
3.49,Medium,M,No,45,0,0,0,1,0,0,0,204
9.06,Medium,M,No,35,1,1,1,0,0,1,1,205
6.86,Medium,M,No,38,0,0,0,0,0,0,1,206
4.34,Medium,F,Yes,36,1,0,0,0,0,0,0,207
3.16,Long,M,No,30,0,1,0,0,0,1,0,208
7.3,Short,F,Yes,26,0,0,0,0,0,1,0,209
5.83,Medium,F,No,27,0,0,0,0,0,0,0,210
7.48,Long,F,No,39,0,1,0,0,0,1,0,211
7.34,Long,M,No,39,0,0,0,0,0,1,0,212
8.13,Short,F,Yes,29,1,1,1,0,0,1,0,213
8.07,Medium,F,No,23,0,0,0,0,0,1,0,214
2.29,Medium,F,No,51,0,0,0,1,0,0,1,215
2.34,Long,F,Yes,23,0,0,0,0,0,0,0,216
7.35,Long,F,Yes,31,0,0,0,0,0,0,0,217
7.07,Short,F,No,55,1,0,1,0,0,0,1,218
5.7,Long,M,Yes,25,0,0,0,0,0,1,0,219
4.73,Short,F,No,44,0,0,0,0,0,0,0,220
2.25,Medium,F,No,23,0,0,0,0,0,0,0,221
9.98,Long,M,Yes,22,0,1,0,0,0,0,0,222
7.66,Medium,F,No,54,0,0,0,0,1,1,0,223
2.35,Short,F,No,20,1,1,0,0,0,1,0,224
6.99,Medium,F,No,49,1,0,1,0,1,1,0,225
7.6,Short,F,Yes,44,0,1,1,1,1,1,0,226
3.73,Medium,M,No,33,0,0,0,0,0,1,0,227
7.28,Medium,F,Yes,28,0,0,0,1,1,0,1,228
7.72,Long,F,Yes,20,0,0,0,0,0,0,0,229
8.79,Long,F,No,30,0,0,0,0,0,0,0,230
7.13,Short,M,No,37,0,1,0,1,0,0,0,231
7.26,Short,F,No,22,0,0,0,0,0,0,0,232
6.45,Short,M,No,32,1,0,0,0,0,0,1,233
7.27,Long,M,Yes,54,1,0,0,0,0,1,0,234
2.59,Long,M,No,46,0,0,0,0,1,0,0,235
6.9,Long,F,Yes,41,0,0,1,0,0,0,0,236
9.14,Long,F,Yes,47,1,0,0,0,0,1,0,237
2.87,Medium,M,No,55,1,1,1,0,0,1,0,238
3.19,Long,M,No,40,0,1,1,0,0,1,0,239
2.75,Medium,F,Yes,53,1,0,0,0,0,0,0,240
9.35,Long,F,Yes,46,0,0,0,0,0,0,0,241
9.54,Short,M,No,38,0,1,0,1,0,1,0,242
6.26,Long,M,No,32,0,0,0,0,0,1,0,243
7.7,Medium,F,Yes,36,1,0,0,0,0,0,0,244
3.15,Short,F,No,36,1,0,0,0,0,0,0,245
4.94,Medium,M,No,27,0,0,0,0,1,1,0,246
6.6,Medium,M,No,50,0,1,0,0,0,1,0,247
9.19,Long,F,No,30,0,0,0,0,0,0,0,248
4.62,Short,M,Yes,50,1,1,0,0,0,0,0,249
3.21,Medium,M,No,30,0,0,0,0,0,1,0,250
4.31,Medium,M,Yes,36,0,0,0,0,0,1,1,251
8.72,Medium,F,Yes,47,1,1,0,0,0,1,0,252
7.08,Medium,F,Yes,31,0,0,0,0,1,0,0,253
3.48,Short,F,No,50,1,1,0,0,0,1,0,254
5.47,Medium,M,Yes,32,0,0,0,0,0,0,0,255
3.99,Long,F,Yes,43,0,0,0,0,0,0,0,256
2.2,Short,F,Yes,29,0,0,0,0,1,1,0,257
7.01,Medium,F,No,45,0,1,0,0,1,1,0,258
6.6,Short,M,No,19,0,0,0,0,0,1,0,259
3.14,Long,F,Yes,24,1,1,0,0,0,1,0,260
9.5,Long,F,Yes,32,0,0,0,0,0,0,0,261
5.96,Long,F,No,48,0,0,0,0,1,0,0,262
2.99,Medium,M,Yes,24,0,0,0,0,0,0,0,263
8.74,Medium,M,No,38,1,1,0,0,1,1,0,264
6.64,Medium,M,No,21,0,0,0,0,0,0,0,265
7.55,Long,M,Yes,51,0,1,1,0,0,0,0,266
9.91,Long,M,Yes,23,0,0,0,0,0,0,0,267
7.69,Short,M,Yes,38,1,1,0,0,0,0,0,268
4.12,Long,M,Yes,41,0,0,0,0,1,1,0,269
9.86,Long,M,Yes,22,1,1,1,0,1,1,0,270
7.04,Medium,M,Yes,29,0,1,0,0,0,1,0,271
6.31,Long,F,Yes,27,1,0,0,0,0,0,0,272
5.61,Short,F,No,39,1,0,0,0,0,0,0,273
4.31,Medium,M,Yes,47,1,0,0,0,0,0,0,274
8.87,Long,M,Yes,34,0,0,0,0,0,0,1,275
6.97,Long,F,No,50,0,0,0,0,1,0,0,276
6.57,Long,F,Yes,49,1,0,0,0,0,1,0,277
5.51,Medium,M,Yes,21,1,1,1,0,1,1,1,278
9.02,Long,F,Yes,39,0,0,0,0,0,0,1,279
4.55,Medium,M,Yes,50,1,0,0,0,0,0,0,280
5.8,Medium,F,No,29,0,0,0,1,0,1,0,281
3.05,Medium,F,Yes,23,0,0,0,0,0,0,0,282
2.35,Medium,M,No,32,0,1,1,0,0,1,0,283
6.56,Long,M,No,47,0,0,0,0,0,0,0,284
2.09,Long,F,No,27,0,1,1,0,0,1,1,285
7.23,Short,F,Yes,29,1,1,0,0,1,1,0,286
6.6,Long,F,No,20,1,0,0,0,0,0,0,287
6.97,Long,F,Yes,47,0,0,1,0,0,0,1,288
4.22,Medium,F,No,46,1,1,1,0,0,0,1,289
3.24,Long,M,Yes,26,0,1,1,0,1,1,0,290
8.25,Long,F,Yes,45,1,0,0,0,0,1,0,291
2.61,Long,F,No,24,1,0,0,0,1,0,0,292
6.52,Medium,F,No,34,1,1,1,0,0,1,0,293
3.07,Medium,F,Yes,25,0,0,0,0,0,0,0,294
2.48,Long,F,No,31,0,0,0,0,0,0,0,295
7.66,Long,F,No,17,0,0,0,0,0,1,0,296
3.31,Short,M,No,17,0,0,0,0,0,0,1,297
2.8,Medium,M,Yes,42,1,0,1,0,1,0,0,298
4.95,Medium,F,Yes,31,0,0,0,0,1,0,0,299
2.88,Short,F,No,45,0,0,0,0,0,0,0,300
3.5,Long,F,No,46,0,1,1,1,1,1,1,301
9.24,Medium,M,No,51,0,1,0,0,0,0,1,302
6.05,Medium,F,Yes,56,1,0,0,0,1,0,0,303
8.02,Short,M,Yes,33,1,0,1,0,1,0,0,304
3.31,Long,M,No,44,0,0,0,0,0,0,0,305
4.33,Short,M,Yes,32,0,0,0,0,0,0,0,306
8.86,Medium,F,No,30,0,0,1,0,1,1,0,307
3.13,Long,M,Yes,55,0,1,0,0,1,0,0,308
3.17,Long,F,Yes,44,0,1,1,0,0,1,0,309
4.53,Long,M,Yes,47,0,0,0,0,0,0,1,310
6.83,Medium,F,Yes,25,0,0,0,0,0,0,0,311
3.73,Medium,F,No,29,0,0,0,0,0,0,0,312
9.17,Medium,M,No,42,1,1,1,0,0,1,0,313
6.15,Medium,F,Yes,25,0,0,0,0,0,0,0,314
4.7,Medium,F,Yes,49,0,0,1,0,1,1,0,315
3.06,Short,F,No,54,1,0,0,0,0,0,0,316
3.24,Medium,F,No,27,0,0,0,0,1,0,0,317
5.63,Long,F,No,28,0,0,0,0,0,0,0,318
9.44,Short,M,Yes,27,1,1,1,0,0,1,0,319
5.57,Long,F,Yes,25,0,0,0,0,1,0,0,320
6.22,Short,F,Yes,18,0,0,0,0,1,0,0,321
8.3,Medium,F,No,55,1,0,0,1,1,1,1,322
2.73,Medium,M,Yes,52,1,1,1,0,0,1,0,323
4.47,Long,F,No,53,0,1,1,0,0,1,0,324
8.33,Long,M,Yes,47,0,1,1,1,1,1,1,325
9.34,Long,M,No,37,1,0,0,0,1,0,0,326
2.82,Medium,F,Yes,50,0,0,0,0,1,0,0,327
6.53,Long,M,No,21,1,1,0,0,0,1,0,328
3.58,Long,F,No,21,0,0,0,0,0,1,0,329
4.52,Medium,F,No,50,1,1,0,0,0,0,0,330
2.71,Short,M,Yes,26,0,0,0,0,0,0,0,331
2.42,Medium,F,No,18,0,1,0,0,0,0,0,332
7.65,Medium,F,Yes,40,0,0,0,0,1,0,0,333
8.01,Long,M,No,52,0,1,0,0,1,1,0,334
6.67,Medium,F,Yes,43,0,0,0,0,1,0,0,335
5.62,Long,F,No,21,0,0,0,0,0,0,0,336
3.78,Medium,M,No,34,0,0,0,0,1,0,0,337
4.75,Medium,F,Yes,38,1,1,1,0,0,1,0,338
2.24,Long,M,Yes,37,1,0,0,0,0,1,0,339
6.01,Medium,M,Yes,36,0,1,0,0,1,1,0,340
4.55,Short,M,Yes,24,0,0,0,0,0,0,0,341
7.28,Long,M,Yes,22,1,0,0,0,0,1,0,342
9.89,Medium,M,No,31,0,0,0,0,1,0,0,343
6,Short,F,No,37,0,0,0,0,0,0,0,344
7.47,Long,M,Yes,27,1,0,0,0,1,0,1,345
6.11,Long,F,No,48,0,0,0,0,0,0,0,346
2.13,Short,M,Yes,50,1,0,0,1,0,1,0,347
9.96,Long,F,No,25,0,0,0,0,0,0,0,348
8.92,Long,F,No,49,0,0,0,0,0,0,0,349
2.69,Long,F,No,36,0,0,0,0,0,0,0,350
8.93,Short,F,No,33,1,0,1,0,0,1,0,351
2.24,Medium,M,Yes,50,1,0,0,0,0,0,0,352
2.29,Long,F,Yes,40,1,1,1,0,0,1,0,353
3.51,Medium,M,Yes,44,0,0,0,0,1,0,0,354
4.49,Medium,M,No,48,0,0,0,0,0,0,0,355
4.54,Long,M,Yes,21,0,0,0,0,1,0,1,356
6.06,Medium,M,Yes,50,0,0,0,0,1,0,0,357
2.67,Medium,M,Yes,47,0,0,0,0,0,0,0,358
6.98,Long,M,Yes,36,1,0,0,0,0,1,0,359
3.4,Long,F,No,44,1,1,0,0,0,1,0,360
3.82,Long,M,Yes,27,1,1,0,0,1,1,0,361
8.21,Long,F,No,17,1,1,0,0,0,1,0,362
6.28,Long,M,No,38,1,0,0,0,0,0,0,363
8.81,Medium,F,Yes,28,0,1,0,0,1,0,0,364
7.01,Long,F,No,23,0,0,1,1,1,0,1,365
4.63,Short,M,No,30,0,1,0,0,0,1,0,366
7.63,Short,F,No,46,0,0,0,0,0,1,0,367
6.15,Short,M,Yes,42,0,0,1,0,0,1,0,368
4.32,Medium,M,No,48,0,0,0,0,1,0,0,369
9.88,Short,F,No,29,1,1,0,0,0,1,0,370
7.92,Long,M,Yes,25,0,0,0,0,0,0,0,371
9.46,Long,M,No,52,0,0,0,0,0,0,1,372
8.44,Long,M,Yes,55,0,1,0,0,1,1,0,373
3.94,Long,F,No,30,0,0,0,0,0,0,0,374
5.52,Short,F,No,30,1,1,0,0,0,1,0,375
7.34,Medium,F,No,20,0,0,0,0,1,0,0,376
9.31,Medium,M,No,48,1,1,1,0,1,1,1,377
4.11,Long,F,Yes,45,0,0,0,0,1,0,0,378
3.41,Medium,M,No,47,1,0,0,0,0,1,1,379
2.26,Long,M,No,20,0,0,0,0,0,0,0,380
2.05,Short,F,No,43,0,0,0,0,1,0,1,381
3.37,Long,F,Yes,40,0,0,0,0,0,0,1,382
4.37,Long,F,No,52,1,0,0,0,0,1,0,383
6.77,Short,M,No,53,1,0,0,1,1,0,1,384
2.87,Medium,F,Yes,34,0,0,0,0,0,0,0,385
8.09,Long,F,Yes,44,0,0,0,0,0,1,0,386
4.1,Long,M,No,20,0,0,0,0,0,1,0,387
10.11,Medium,F,No,29,0,0,0,1,1,0,0,388
2.55,Long,F,Yes,49,0,0,0,0,0,0,0,389
7.12,Long,M,No,42,1,0,0,1,1,0,0,390
6.27,Long,M,Yes,55,1,0,0,0,1,0,0,391
3.59,Short,F,Yes,49,1,0,0,0,0,0,0,392
5.83,Short,M,Yes,23,1,0,1,1,0,1,0,393
2.41,Long,M,No,19,1,1,1,0,1,1,0,394
2.54,Short,M,No,35,0,0,0,0,0,1,0,395
3.16,Medium,F,No,52,0,0,0,0,0,0,0,396
7.31,Medium,F,Yes,29,1,1,1,0,1,1,0,397
5.98,Long,M,Yes,34,0,0,0,0,1,0,0,398
8.89,Short,F,Yes,31,0,0,0,0,0,0,0,399
2.81,Short,M,No,47,1,0,0,0,0,0,0,400
3.95,Long,M,Yes,46,1,0,0,0,1,0,0,401
4.96,Long,F,Yes,24,0,1,0,0,1,1,1,402
7.61,Short,F,No,27,1,1,0,0,0,1,0,403
9.26,Medium,M,No,36,0,1,1,1,0,1,1,404
2.85,Medium,M,No,50,1,0,0,0,0,0,0,405
2.5,Medium,M,No,26,1,0,0,0,1,0,0,406
6.98,Long,F,No,44,0,0,0,0,0,0,0,407
3.85,Medium,F,Yes,24,1,1,0,0,0,0,0,408
3.3,Medium,F,No,52,0,0,0,0,1,0,1,409
9.13,Long,F,Yes,31,0,1,0,0,1,1,0,410
3.27,Medium,F,No,29,1,1,0,0,0,1,1,411
5.07,Long,M,No,54,0,0,0,0,0,0,0,412
3.76,Short,M,Yes,20,0,0,0,0,1,0,0,413
8.14,Long,F,Yes,51,0,1,0,0,0,1,0,414
9.6,Medium,F,No,43,0,0,0,0,1,0,1,415
4.19,Long,F,Yes,20,1,0,0,0,0,0,0,416
4.29,Long,M,Yes,50,1,0,1,0,0,1,0,417
2.27,Medium,M,Yes,31,0,0,0,0,0,1,0,418
2.55,Long,M,No,49,1,1,0,0,0,1,0,419
2.34,Short,M,No,44,0,1,0,0,0,1,0,420
2.32,Long,M,Yes,26,0,1,1,0,1,1,0,421
8.81,Long,M,No,50,0,0,0,0,0,0,0,422
3.47,Medium,F,Yes,42,0,0,0,0,1,1,0,423
8.61,Long,M,Yes,25,0,0,0,0,1,0,0,424
8.73,Medium,F,Yes,39,0,0,0,1,1,0,0,425
6.05,Medium,F,Yes,22,0,0,0,0,0,0,1,426
5.16,Long,M,Yes,29,1,1,0,0,0,1,0,427
3.75,Short,F,No,36,0,1,0,0,0,1,0,428
6.84,Long,F,Yes,45,0,0,0,0,0,1,0,429
9.46,Long,M,No,34,0,0,0,0,0,0,0,430
3.3,Long,M,Yes,49,0,1,1,0,1,1,0,431
3.37,Medium,F,Yes,28,1,1,1,1,1,1,1,432
7.37,Long,M,No,25,1,1,1,1,0,1,1,433
2.45,Long,F,No,28,1,1,1,0,0,1,0,434
4.65,Medium,F,No,43,1,1,1,0,1,1,1,435
3.86,Short,F,No,48,1,0,0,0,0,1,0,436
8.61,Medium,M,Yes,33,0,0,0,0,1,0,0,437
7.75,Short,M,No,24,0,0,0,1,1,0,0,438
5.89,Medium,M,No,47,0,0,0,1,0,0,0,439
5.02,Medium,F,No,30,1,0,1,0,0,0,0,440
4.55,Long,M,No,29,0,1,0,0,0,1,0,441
8.04,Long,M,No,18,0,0,0,0,1,0,0,442
6.27,Long,F,Yes,54,0,0,0,0,0,0,1,443
5.39,Long,M,No,50,1,1,0,0,0,1,0,444
5.28,Long,F,No,23,1,0,0,0,1,1,0,445
8.47,Long,M,No,49,0,0,0,0,1,0,0,446
2.45,Long,M,Yes,22,1,1,0,0,0,1,0,447
5.18,Medium,M,Yes,44,0,0,0,0,1,0,0,448
4.87,Long,F,No,23,0,0,0,0,0,0,0,449
8.73,Short,F,Yes,30,1,1,0,0,0,1,0,450
9.67,Long,M,No,52,1,1,1,0,0,1,0,451
4.46,Medium,F,No,29,1,0,0,0,1,0,0,452
4.28,Short,M,No,50,0,1,0,0,0,1,0,453
2.66,Long,F,Yes,31,0,0,0,0,0,0,0,454
4.83,Short,F,No,40,1,0,0,0,0,0,0,455
3.96,Medium,M,No,27,0,1,0,0,1,1,0,456
9.57,Long,M,No,29,1,0,0,0,0,1,0,457
